d_hidden,num_layers,AUC,AUC_Std,PEHE,PEHE_Std,Delta CATE,Delta_CATE_Std
64.0,2.0,0.8187643020594967,0.0064064145228362,0.08235864,0.004767367,0.019865941,0.004833459
64.0,3.0,0.8173150266971776,0.0057080966998839,0.078861594,0.00921018,0.05352802,0.026993083
64.0,4.0,0.8154080854309687,0.0066584753143539,0.078989,0.0062188264,0.04004931,0.012371408
64.0,5.0,0.815026697177727,0.0045766590389015,0.083334625,0.009814897,0.035408776,0.021713002
128.0,2.0,0.8128146453089246,0.0097516136167792,0.07653717,0.01034988,0.093797036,0.020514738
128.0,3.0,0.8105263157894738,0.0077653495607166,0.07718718,0.009674973,0.105990745,0.010318652
128.0,4.0,0.8108314263920671,0.0095240214730792,0.0851323,0.019108651,0.10518195,0.012222946
128.0,5.0,0.8088482074752097,0.0059837860129535,0.08969928,0.022031136,0.10683098,0.017824814
256.0,2.0,0.7774218154080854,0.0109998613918293,0.12703583,0.02734623,0.119132444,0.019763308
256.0,3.0,0.7651411136536994,0.0109728522308759,0.13102563,0.03174969,0.109310366,0.021696651
256.0,4.0,0.7720823798627002,0.0073186805896634,0.1308095,0.017765027,0.10566087,0.03396501
256.0,5.0,0.7584286803966438,0.0168081052804402,0.114903785,0.015250261,0.111454286,0.036490455
