lambda_cate,AUC,AUC_Std,PEHE,PEHE_Std,Delta CATE,Delta_CATE_Std
0.0,0.7879481311975591,0.005045292355195659,0.13185997,0.003428792,0.06443442,0.02778119
0.5,0.788329519450801,0.004036233884156495,0.12615569,0.0012441356,0.11946251,0.022984449
1.0,0.7884566488685482,0.00267878305437394,0.12143794,0.0015994366,0.14431553,0.015335234
1.5,0.7887109077040427,0.004298027333937734,0.120425634,0.0019236624,0.15753992,0.015459919
2.0,0.7888380371217899,0.0022019461067491696,0.1202978,0.001084935,0.16974337,0.017129196
2.5,0.7862954487668447,0.002234731226957429,0.118544154,0.0025013797,0.1771384,0.016097484
3.0,0.7870582252733284,0.00223473122695747,0.11654604,0.0017031812,0.18202423,0.013715467
4.0,0.7896008136282737,0.002451983412406032,0.11488775,0.002589594,0.19104499,0.018303966
5.0,0.7937960844139335,0.004738023176604145,0.11249664,0.0020689582,0.19751938,0.018583488
6.0,0.7935418255784389,0.005985892380876448,0.112683475,0.0024354316,0.20106947,0.01688991
7.0,0.7925247902364608,0.005243221618942677,0.11217332,0.0027869157,0.20183635,0.015008905
